# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: C:\Users\User\Desktop\snaake.csv
# Generated on: Tue Dec 31 23:24:28 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk,Input,PIN_M9,3B,B3B_N0,PIN_M9,2.5 V,,,,,,,,,,,,,
down,Input,PIN_M7,3A,B3A_N0,PIN_M7,2.5 V,,,,,,,,,,,,,
gameOver,Output,PIN_AA2,2A,B2A_N0,PIN_AA2,2.5 V,,,,,,,,,,,,,
left,Input,PIN_W9,3A,B3A_N0,PIN_W9,2.5 V,,,,,,,,,,,,,
now[23],Output,PIN_E15,7A,B7A_N0,PIN_E15,2.5 V,,,,,,,,,,,,,
now[22],Output,PIN_B15,7A,B7A_N0,PIN_B15,2.5 V,,,,,,,,,,,,,
now[21],Output,PIN_A12,7A,B7A_N0,PIN_A12,2.5 V,,,,,,,,,,,,,
now[20],Output,PIN_E14,7A,B7A_N0,PIN_E14,2.5 V,,,,,,,,,,,,,
now[19],Output,PIN_C13,7A,B7A_N0,PIN_C13,2.5 V,,,,,,,,,,,,,
now[18],Output,PIN_B12,7A,B7A_N0,PIN_B12,2.5 V,,,,,,,,,,,,,
now[17],Output,PIN_A13,7A,B7A_N0,PIN_A13,2.5 V,,,,,,,,,,,,,
now[16],Output,PIN_D13,7A,B7A_N0,PIN_D13,2.5 V,,,,,,,,,,,,,
now[15],Output,PIN_L8,7A,B7A_N0,PIN_L8,2.5 V,,,,,,,,,,,,,
now[14],Output,PIN_J13,7A,B7A_N0,PIN_J13,2.5 V,,,,,,,,,,,,,
now[13],Output,PIN_C15,7A,B7A_N0,PIN_C15,2.5 V,,,,,,,,,,,,,
now[12],Output,PIN_B13,7A,B7A_N0,PIN_B13,2.5 V,,,,,,,,,,,,,
now[11],Output,PIN_E16,7A,B7A_N0,PIN_E16,2.5 V,,,,,,,,,,,,,
now[10],Output,PIN_G17,7A,B7A_N0,PIN_G17,2.5 V,,,,,,,,,,,,,
now[9],Output,PIN_J18,7A,B7A_N0,PIN_J18,2.5 V,,,,,,,,,,,,,
now[8],Output,PIN_A14,7A,B7A_N0,PIN_A14,2.5 V,,,,,,,,,,,,,
now[7],Output,PIN_G11,7A,B7A_N0,PIN_G11,2.5 V,,,,,,,,,,,,,
now[6],Output,PIN_H10,7A,B7A_N0,PIN_H10,2.5 V,,,,,,,,,,,,,
now[5],Output,PIN_H14,7A,B7A_N0,PIN_H14,2.5 V,,,,,,,,,,,,,
now[4],Output,PIN_G18,7A,B7A_N0,PIN_G18,2.5 V,,,,,,,,,,,,,
now[3],Output,PIN_A15,7A,B7A_N0,PIN_A15,2.5 V,,,,,,,,,,,,,
now[2],Output,PIN_H18,7A,B7A_N0,PIN_H18,2.5 V,,,,,,,,,,,,,
now[1],Output,PIN_J19,7A,B7A_N0,PIN_J19,2.5 V,,,,,,,,,,,,,
now[0],Output,PIN_J11,7A,B7A_N0,PIN_J11,2.5 V,,,,,,,,,,,,,
reset,Input,PIN_P22,5A,B5A_N0,PIN_P22,2.5 V,,,,,,,,,,,,,
right,Input,PIN_U7,3A,B3A_N0,PIN_U7,2.5 V,,,,,,,,,,,,,
rst,Input,PIN_U13,4A,B4A_N0,PIN_U13,2.5 V,,,,,,,,,,,,,
up,Input,PIN_M6,3A,B3A_N0,PIN_M6,2.5 V,,,,,,,,,,,,,
